year,result_code,electoral_district_name,polling_division_name,party,candidate,votes,percentage,affiliation
2010,17P,Anuradhapura,Postal Votes,Ind 5,M. K. Shivajilingam,2,0.01,
2010,17P,Anuradhapura,Postal Votes,SEP,Wije Dias,1,0.0,
2010,17P,Anuradhapura,Postal Votes,JP,Baththaramulle Seelarathana Thero,5,0.01,
2010,17P,Anuradhapura,Postal Votes,RPP,Aruna de Soyza,3,0.01,
2010,17P,Anuradhapura,Postal Votes,PNF,Senaratna de Silva,9,0.02,
2010,17P,Anuradhapura,Postal Votes,Ind 4,M. Mohamed Musthaffa,0,0.0,
2010,17P,Anuradhapura,Postal Votes,NA,Sanath Pinnaduwa,1,0.0,
2010,17P,Anuradhapura,Postal Votes,ACAKO,M. B. Theminimulla,0,0.0,
2010,17P,Anuradhapura,Postal Votes,UNAF,Sarath Kongahage,7,0.02,
2015,17P,Anuradhapura,Postal Votes,I-AMI,Aithurus Mohamed Illias,31,0.07,
2015,17P,Anuradhapura,Postal Votes,UPF,Maulawi Ibrahim Mohanmed Mishlar,23,0.05,
2015,17P,Anuradhapura,Postal Votes,DNM,Prasanna Priyankara,2,0.0,
2015,17P,Anuradhapura,Postal Votes,SLNF,Wimal Geeganage,4,0.01,
2015,17P,Anuradhapura,Postal Votes,USP,Siritunga Jayasuriya,6,0.01,
2015,17P,Anuradhapura,Postal Votes,AACAAKO,M. B. Theminimulla,2,0.0,
2015,17P,Anuradhapura,Postal Votes,SEP,Pani Wijesiriwardane,2,0.0,
2015,17P,Anuradhapura,Postal Votes,FSP,Duminda Nagamuwa,18,0.04,
2015,17P,Anuradhapura,Postal Votes,SLLP,A. S. P. Liyanage,13,0.03,
2015,17P,Anuradhapura,Postal Votes,NDF,Maithripala Sirisena,23032,53.72,green
2015,17P,Anuradhapura,Postal Votes,ULPP,Ruwanthilaka Peduru Arachchi,6,0.01,
2015,17P,Anuradhapura,Postal Votes,I-AP,Anuruddha Polgampala,2,0.0,
2015,17P,Anuradhapura,Postal Votes,JSP,Baththaramulle Seelarathana Thero,13,0.03,
2015,17P,Anuradhapura,Postal Votes,NSH,Sarath Manamendra,10,0.02,
2015,17P,Anuradhapura,Postal Votes,PNF,Arachchige Rathnayaka Sirisena,31,0.07,
2015,17P,Anuradhapura,Postal Votes,UPFA,Mahinda Rajapaksa,19643,45.82,blue
2015,17P,Anuradhapura,Postal Votes,ONF,Namal Ajith Rajapaksa,24,0.06,
2015,17P,Anuradhapura,Postal Votes,NSSP,Sundaram Mahendran,5,0.01,red
2015,17P,Anuradhapura,Postal Votes,ULGC,Jayantha Kulathunga,5,0.01,
1982,18A,Polonnaruwa,Minneriya,UNP,Junius Richard Jayewardene,17728,52.16,green
1982,18A,Polonnaruwa,Minneriya,SLFP,Hector Kobbekaduwa,12818,37.71,blue
1982,18A,Polonnaruwa,Minneriya,JVP,Rohana Wijeweera,3181,9.36,red
1982,18A,Polonnaruwa,Minneriya,LSSP,Colvin Reginald de Silva,169,0.5,red
1982,18A,Polonnaruwa,Minneriya,ACTC,Kumar Ponnambalam,35,0.1,yellow
1982,18A,Polonnaruwa,Minneriya,NSSP,Vasudeva Nanayakkara,58,0.17,red
1988,18A,Polonnaruwa,Minneriya,UNP,Ranasinghe Premadasa,2433,51.98,green
1988,18A,Polonnaruwa,Minneriya,SLFP,Sirimavo Bandaranaike,2123,45.35,blue
1988,18A,Polonnaruwa,Minneriya,SLMP,Oswin Abeygunasekara,125,2.67,purple
1994,18A,Polonnaruwa,Minneriya,PA,Chandrika Kumaratunga,25779,62.11,blue
1994,18A,Polonnaruwa,Minneriya,UNP,Srimathi Dissanayake,15079,36.33,green
1994,18A,Polonnaruwa,Minneriya,Ind 2,Hudson Samarasinghe,279,0.67,
1994,18A,Polonnaruwa,Minneriya,SLPF,Nihal Galappaththi,169,0.41,
1994,18A,Polonnaruwa,Minneriya,SMBP,Harischandra Wijayatunga,134,0.32,
1994,18A,Polonnaruwa,Minneriya,Ind 1,Arthur Jayasena Ranasinghe,64,0.15,
1999,18A,Polonnaruwa,Minneriya,PA,Chandrika Kumaratunga,24141,52.05,blue
1999,18A,Polonnaruwa,Minneriya,UNP,Ranil Wickremesinghe,18627,40.17,green
1999,18A,Polonnaruwa,Minneriya,JVP,M. D. Nandana Gunathilake,2849,6.14,red
1999,18A,Polonnaruwa,Minneriya,Liberal,Rajiva Wijesinha,140,0.3,
1999,18A,Polonnaruwa,Minneriya,Ind 2,W. V. M. Ranjith,149,0.32,
1999,18A,Polonnaruwa,Minneriya,Ind 1,T. Edirisuriya,107,0.23,
1999,18A,Polonnaruwa,Minneriya,SMBP,Harischandra Wijayatunga,119,0.26,
1999,18A,Polonnaruwa,Minneriya,PLSF,Kamal Karunadasa,66,0.14,
1999,18A,Polonnaruwa,Minneriya,SLMP,Abdul Rasool,60,0.13,purple
1999,18A,Polonnaruwa,Minneriya,LDA,Vasudeva Nanayakkara,51,0.11,
1999,18A,Polonnaruwa,Minneriya,Ind 3,Hudson Samarasinghe,28,0.06,
1999,18A,Polonnaruwa,Minneriya,DUNF,A. Dissanayaka,26,0.06,
1999,18A,Polonnaruwa,Minneriya,PFF,A. W. Premawardhana,13,0.03,
2005,18A,Polonnaruwa,Minneriya,UPFA,Mahinda Rajapaksa,31081,55.91,blue
2005,18A,Polonnaruwa,Minneriya,UNP,Ranil Wickremesinghe,23819,42.85,green
2005,18A,Polonnaruwa,Minneriya,JSP,A. A. Suraweera,199,0.36,
2005,18A,Polonnaruwa,Minneriya,USP,Siritunga Jayasuriya,176,0.32,
2005,18A,Polonnaruwa,Minneriya,ULPP,Victor Hettigoda,65,0.12,
2005,18A,Polonnaruwa,Minneriya,NLF,Chamil Jayaneththi,52,0.09,
2005,18A,Polonnaruwa,Minneriya,RPP,Aruna de Soyza,61,0.11,
2005,18A,Polonnaruwa,Minneriya,ULF,Anura De Silva,39,0.07,
2005,18A,Polonnaruwa,Minneriya,SLNF,Wimal Geeganage,43,0.08,
2005,18A,Polonnaruwa,Minneriya,DUA,A. K. J. Arachchige,28,0.05,
2005,18A,Polonnaruwa,Minneriya,SLPF,P. Nelson Perera,12,0.02,
2005,18A,Polonnaruwa,Minneriya,SEP,Wije Dias,6,0.01,
2005,18A,Polonnaruwa,Minneriya,UNAF,H. S. Dharmadwaja,6,0.01,
2010,18A,Polonnaruwa,Minneriya,UPFA,Mahinda Rajapaksa,39587,69.46,blue
2010,18A,Polonnaruwa,Minneriya,NDF,Sarath Fonseka,16517,28.98,green
2010,18A,Polonnaruwa,Minneriya,DUNF,M. C. M. Ismail,167,0.29,
2010,18A,Polonnaruwa,Minneriya,Ind 1,W. V. M. Ranjith,139,0.24,
2010,18A,Polonnaruwa,Minneriya,JSP,A. A. Suraweera,163,0.29,
2010,18A,Polonnaruwa,Minneriya,UDF,C. J. Sugathsiri Gamage,55,0.1,
2010,18A,Polonnaruwa,Minneriya,SLLP,A. S. P. Liyanage,70,0.12,
2010,18A,Polonnaruwa,Minneriya,NSH,Sarath Manamendra,40,0.07,
2010,18A,Polonnaruwa,Minneriya,Ind 3,Ukkubanda Wijekoon,49,0.09,
2010,18A,Polonnaruwa,Minneriya,ONF,Lal Perera,39,0.07,
2010,18A,Polonnaruwa,Minneriya,USP,Siritunga Jayasuriya,30,0.05,
2010,18A,Polonnaruwa,Minneriya,Ind 2,Aithurus Mohamed Illias,23,0.04,
2010,18A,Polonnaruwa,Minneriya,LF,Vikramabahu Karunaratne,21,0.04,
2010,18A,Polonnaruwa,Minneriya,NA,Sanath Pinnaduwa,14,0.02,
2010,18A,Polonnaruwa,Minneriya,SEP,Wije Dias,16,0.03,
2010,18A,Polonnaruwa,Minneriya,Ind 5,M. K. Shivajilingam,13,0.02,
2010,18A,Polonnaruwa,Minneriya,Ind 4,M. Mohamed Musthaffa,11,0.02,
2010,18A,Polonnaruwa,Minneriya,PNF,Senaratna de Silva,8,0.01,
2010,18A,Polonnaruwa,Minneriya,JP,Baththaramulle Seelarathana Thero,10,0.02,
2010,18A,Polonnaruwa,Minneriya,ACAKO,M. B. Theminimulla,8,0.01,
2010,18A,Polonnaruwa,Minneriya,UNAF,Sarath Kongahage,6,0.01,
2010,18A,Polonnaruwa,Minneriya,RPP,Aruna de Soyza,4,0.01,
2015,18A,Polonnaruwa,Minneriya,I-AMI,Aithurus Mohamed Illias,37,0.06,
2015,18A,Polonnaruwa,Minneriya,UPF,Maulawi Ibrahim Mohanmed Mishlar,38,0.06,
2015,18A,Polonnaruwa,Minneriya,DNM,Prasanna Priyankara,10,0.02,
2015,18A,Polonnaruwa,Minneriya,SLNF,Wimal Geeganage,8,0.01,
2015,18A,Polonnaruwa,Minneriya,USP,Siritunga Jayasuriya,35,0.05,
2015,18A,Polonnaruwa,Minneriya,AACAAKO,M. B. Theminimulla,23,0.04,
2015,18A,Polonnaruwa,Minneriya,SEP,Pani Wijesiriwardane,14,0.02,
2015,18A,Polonnaruwa,Minneriya,FSP,Duminda Nagamuwa,120,0.18,
2015,18A,Polonnaruwa,Minneriya,SLLP,A. S. P. Liyanage,61,0.09,
2015,18A,Polonnaruwa,Minneriya,NDF,Maithripala Sirisena,32744,50.22,green
2015,18A,Polonnaruwa,Minneriya,ULPP,Ruwanthilaka Peduru Arachchi,58,0.09,
2015,18A,Polonnaruwa,Minneriya,I-AP,Anuruddha Polgampala,12,0.02,
2015,18A,Polonnaruwa,Minneriya,JSP,Baththaramulle Seelarathana Thero,14,0.02,
2015,18A,Polonnaruwa,Minneriya,NSH,Sarath Manamendra,28,0.04,
2015,18A,Polonnaruwa,Minneriya,PNF,Arachchige Rathnayaka Sirisena,137,0.21,
2015,18A,Polonnaruwa,Minneriya,UPFA,Mahinda Rajapaksa,31747,48.69,blue
2015,18A,Polonnaruwa,Minneriya,ONF,Namal Ajith Rajapaksa,91,0.14,
2015,18A,Polonnaruwa,Minneriya,NSSP,Sundaram Mahendran,10,0.02,red
2015,18A,Polonnaruwa,Minneriya,ULGC,Jayantha Kulathunga,11,0.02,
1982,18B,Polonnaruwa,Medirigiriya,UNP,Junius Richard Jayewardene,20324,58.03,green
1982,18B,Polonnaruwa,Medirigiriya,SLFP,Hector Kobbekaduwa,11777,33.63,blue
1982,18B,Polonnaruwa,Medirigiriya,JVP,Rohana Wijeweera,2736,7.81,red
1982,18B,Polonnaruwa,Medirigiriya,LSSP,Colvin Reginald de Silva,140,0.4,red
1982,18B,Polonnaruwa,Medirigiriya,ACTC,Kumar Ponnambalam,24,0.07,yellow
1982,18B,Polonnaruwa,Medirigiriya,NSSP,Vasudeva Nanayakkara,22,0.06,red
1988,18B,Polonnaruwa,Medirigiriya,UNP,Ranasinghe Premadasa,6592,64.31,green
1988,18B,Polonnaruwa,Medirigiriya,SLFP,Sirimavo Bandaranaike,3497,34.12,blue
1988,18B,Polonnaruwa,Medirigiriya,SLMP,Oswin Abeygunasekara,161,1.57,purple
1994,18B,Polonnaruwa,Medirigiriya,PA,Chandrika Kumaratunga,23977,56.86,blue
1994,18B,Polonnaruwa,Medirigiriya,UNP,Srimathi Dissanayake,17588,41.71,green
1994,18B,Polonnaruwa,Medirigiriya,Ind 2,Hudson Samarasinghe,313,0.74,
1994,18B,Polonnaruwa,Medirigiriya,SLPF,Nihal Galappaththi,111,0.26,
1994,18B,Polonnaruwa,Medirigiriya,SMBP,Harischandra Wijayatunga,112,0.27,
1994,18B,Polonnaruwa,Medirigiriya,Ind 1,Arthur Jayasena Ranasinghe,67,0.16,
1999,18B,Polonnaruwa,Medirigiriya,PA,Chandrika Kumaratunga,23395,50.72,blue
1999,18B,Polonnaruwa,Medirigiriya,UNP,Ranil Wickremesinghe,20345,44.1,green
1999,18B,Polonnaruwa,Medirigiriya,JVP,M. D. Nandana Gunathilake,1709,3.7,red
1999,18B,Polonnaruwa,Medirigiriya,Liberal,Rajiva Wijesinha,132,0.29,
1999,18B,Polonnaruwa,Medirigiriya,Ind 2,W. V. M. Ranjith,135,0.29,
1999,18B,Polonnaruwa,Medirigiriya,Ind 1,T. Edirisuriya,94,0.2,
1999,18B,Polonnaruwa,Medirigiriya,SMBP,Harischandra Wijayatunga,95,0.21,
1999,18B,Polonnaruwa,Medirigiriya,PLSF,Kamal Karunadasa,86,0.19,
1999,18B,Polonnaruwa,Medirigiriya,SLMP,Abdul Rasool,55,0.12,purple
1999,18B,Polonnaruwa,Medirigiriya,LDA,Vasudeva Nanayakkara,33,0.07,
1999,18B,Polonnaruwa,Medirigiriya,Ind 3,Hudson Samarasinghe,32,0.07,
1999,18B,Polonnaruwa,Medirigiriya,DUNF,A. Dissanayaka,10,0.02,
1999,18B,Polonnaruwa,Medirigiriya,PFF,A. W. Premawardhana,8,0.02,
2005,18B,Polonnaruwa,Medirigiriya,UPFA,Mahinda Rajapaksa,27230,51.0,blue
2005,18B,Polonnaruwa,Medirigiriya,UNP,Ranil Wickremesinghe,25533,47.83,green
2005,18B,Polonnaruwa,Medirigiriya,JSP,A. A. Suraweera,172,0.32,
2005,18B,Polonnaruwa,Medirigiriya,USP,Siritunga Jayasuriya,181,0.34,
2005,18B,Polonnaruwa,Medirigiriya,ULPP,Victor Hettigoda,42,0.08,
2005,18B,Polonnaruwa,Medirigiriya,NLF,Chamil Jayaneththi,61,0.11,
2005,18B,Polonnaruwa,Medirigiriya,RPP,Aruna de Soyza,50,0.09,
2005,18B,Polonnaruwa,Medirigiriya,ULF,Anura De Silva,48,0.09,
2005,18B,Polonnaruwa,Medirigiriya,SLNF,Wimal Geeganage,25,0.05,
2005,18B,Polonnaruwa,Medirigiriya,DUA,A. K. J. Arachchige,18,0.03,
2005,18B,Polonnaruwa,Medirigiriya,SLPF,P. Nelson Perera,15,0.03,
2005,18B,Polonnaruwa,Medirigiriya,SEP,Wije Dias,5,0.01,
2005,18B,Polonnaruwa,Medirigiriya,UNAF,H. S. Dharmadwaja,8,0.01,
2010,18B,Polonnaruwa,Medirigiriya,UPFA,Mahinda Rajapaksa,34613,63.74,blue
2010,18B,Polonnaruwa,Medirigiriya,NDF,Sarath Fonseka,18979,34.95,green
2010,18B,Polonnaruwa,Medirigiriya,DUNF,M. C. M. Ismail,93,0.17,
2010,18B,Polonnaruwa,Medirigiriya,Ind 1,W. V. M. Ranjith,130,0.24,
2010,18B,Polonnaruwa,Medirigiriya,JSP,A. A. Suraweera,89,0.16,
2010,18B,Polonnaruwa,Medirigiriya,UDF,C. J. Sugathsiri Gamage,57,0.1,
2010,18B,Polonnaruwa,Medirigiriya,SLLP,A. S. P. Liyanage,49,0.09,
2010,18B,Polonnaruwa,Medirigiriya,NSH,Sarath Manamendra,61,0.11,
2010,18B,Polonnaruwa,Medirigiriya,Ind 3,Ukkubanda Wijekoon,57,0.1,
2010,18B,Polonnaruwa,Medirigiriya,ONF,Lal Perera,45,0.08,
2010,18B,Polonnaruwa,Medirigiriya,USP,Siritunga Jayasuriya,24,0.04,
2010,18B,Polonnaruwa,Medirigiriya,Ind 2,Aithurus Mohamed Illias,16,0.03,
2010,18B,Polonnaruwa,Medirigiriya,LF,Vikramabahu Karunaratne,9,0.02,
2010,18B,Polonnaruwa,Medirigiriya,NA,Sanath Pinnaduwa,18,0.03,
2010,18B,Polonnaruwa,Medirigiriya,SEP,Wije Dias,8,0.01,
2010,18B,Polonnaruwa,Medirigiriya,Ind 5,M. K. Shivajilingam,9,0.02,
2010,18B,Polonnaruwa,Medirigiriya,Ind 4,M. Mohamed Musthaffa,12,0.02,
2010,18B,Polonnaruwa,Medirigiriya,PNF,Senaratna de Silva,7,0.01,
2010,18B,Polonnaruwa,Medirigiriya,JP,Baththaramulle Seelarathana Thero,3,0.01,
2010,18B,Polonnaruwa,Medirigiriya,ACAKO,M. B. Theminimulla,7,0.01,
2010,18B,Polonnaruwa,Medirigiriya,UNAF,Sarath Kongahage,8,0.01,
2010,18B,Polonnaruwa,Medirigiriya,RPP,Aruna de Soyza,8,0.01,
2015,18B,Polonnaruwa,Medirigiriya,I-AMI,Aithurus Mohamed Illias,28,0.05,
2015,18B,Polonnaruwa,Medirigiriya,UPF,Maulawi Ibrahim Mohanmed Mishlar,36,0.06,
2015,18B,Polonnaruwa,Medirigiriya,DNM,Prasanna Priyankara,10,0.02,
2015,18B,Polonnaruwa,Medirigiriya,SLNF,Wimal Geeganage,1,0.0,
2015,18B,Polonnaruwa,Medirigiriya,USP,Siritunga Jayasuriya,32,0.05,
2015,18B,Polonnaruwa,Medirigiriya,AACAAKO,M. B. Theminimulla,9,0.01,
2015,18B,Polonnaruwa,Medirigiriya,SEP,Pani Wijesiriwardane,8,0.01,
2015,18B,Polonnaruwa,Medirigiriya,FSP,Duminda Nagamuwa,60,0.1,
2015,18B,Polonnaruwa,Medirigiriya,SLLP,A. S. P. Liyanage,60,0.1,
2015,18B,Polonnaruwa,Medirigiriya,NDF,Maithripala Sirisena,32875,53.89,green
2015,18B,Polonnaruwa,Medirigiriya,ULPP,Ruwanthilaka Peduru Arachchi,73,0.12,
2015,18B,Polonnaruwa,Medirigiriya,I-AP,Anuruddha Polgampala,10,0.02,
2015,18B,Polonnaruwa,Medirigiriya,JSP,Baththaramulle Seelarathana Thero,14,0.02,
2015,18B,Polonnaruwa,Medirigiriya,NSH,Sarath Manamendra,14,0.02,
2015,18B,Polonnaruwa,Medirigiriya,PNF,Arachchige Rathnayaka Sirisena,73,0.12,
2015,18B,Polonnaruwa,Medirigiriya,UPFA,Mahinda Rajapaksa,27623,45.28,blue
2015,18B,Polonnaruwa,Medirigiriya,ONF,Namal Ajith Rajapaksa,73,0.12,
2015,18B,Polonnaruwa,Medirigiriya,NSSP,Sundaram Mahendran,5,0.01,red
2015,18B,Polonnaruwa,Medirigiriya,ULGC,Jayantha Kulathunga,3,0.0,
1982,18C,Polonnaruwa,Polonnaruwa,UNP,Junius Richard Jayewardene,20616,58.21,green
1982,18C,Polonnaruwa,Polonnaruwa,SLFP,Hector Kobbekaduwa,12286,34.69,blue
1982,18C,Polonnaruwa,Polonnaruwa,JVP,Rohana Wijeweera,2161,6.1,red
1982,18C,Polonnaruwa,Polonnaruwa,LSSP,Colvin Reginald de Silva,133,0.38,red
1982,18C,Polonnaruwa,Polonnaruwa,ACTC,Kumar Ponnambalam,166,0.47,yellow
1982,18C,Polonnaruwa,Polonnaruwa,NSSP,Vasudeva Nanayakkara,54,0.15,red
1988,18C,Polonnaruwa,Polonnaruwa,UNP,Ranasinghe Premadasa,17179,53.43,green
1988,18C,Polonnaruwa,Polonnaruwa,SLFP,Sirimavo Bandaranaike,14320,44.54,blue
1988,18C,Polonnaruwa,Polonnaruwa,SLMP,Oswin Abeygunasekara,651,2.02,purple
1994,18C,Polonnaruwa,Polonnaruwa,PA,Chandrika Kumaratunga,36865,58.39,blue
1994,18C,Polonnaruwa,Polonnaruwa,UNP,Srimathi Dissanayake,25284,40.05,green
1994,18C,Polonnaruwa,Polonnaruwa,Ind 2,Hudson Samarasinghe,527,0.83,
1994,18C,Polonnaruwa,Polonnaruwa,SLPF,Nihal Galappaththi,173,0.27,
1994,18C,Polonnaruwa,Polonnaruwa,SMBP,Harischandra Wijayatunga,169,0.27,
1994,18C,Polonnaruwa,Polonnaruwa,Ind 1,Arthur Jayasena Ranasinghe,118,0.19,
1999,18C,Polonnaruwa,Polonnaruwa,PA,Chandrika Kumaratunga,39372,51.64,blue
1999,18C,Polonnaruwa,Polonnaruwa,UNP,Ranil Wickremesinghe,32472,42.59,green
1999,18C,Polonnaruwa,Polonnaruwa,JVP,M. D. Nandana Gunathilake,3165,4.15,red
1999,18C,Polonnaruwa,Polonnaruwa,Liberal,Rajiva Wijesinha,269,0.35,
1999,18C,Polonnaruwa,Polonnaruwa,Ind 2,W. V. M. Ranjith,257,0.34,
1999,18C,Polonnaruwa,Polonnaruwa,Ind 1,T. Edirisuriya,189,0.25,
1999,18C,Polonnaruwa,Polonnaruwa,SMBP,Harischandra Wijayatunga,146,0.19,
1999,18C,Polonnaruwa,Polonnaruwa,PLSF,Kamal Karunadasa,92,0.12,
1999,18C,Polonnaruwa,Polonnaruwa,SLMP,Abdul Rasool,125,0.16,purple
1999,18C,Polonnaruwa,Polonnaruwa,LDA,Vasudeva Nanayakkara,65,0.09,
1999,18C,Polonnaruwa,Polonnaruwa,Ind 3,Hudson Samarasinghe,55,0.07,
1999,18C,Polonnaruwa,Polonnaruwa,DUNF,A. Dissanayaka,26,0.03,
1999,18C,Polonnaruwa,Polonnaruwa,PFF,A. W. Premawardhana,16,0.02,
2005,18C,Polonnaruwa,Polonnaruwa,UPFA,Mahinda Rajapaksa,47188,50.64,blue
2005,18C,Polonnaruwa,Polonnaruwa,UNP,Ranil Wickremesinghe,44951,48.24,green
2005,18C,Polonnaruwa,Polonnaruwa,JSP,A. A. Suraweera,308,0.33,
2005,18C,Polonnaruwa,Polonnaruwa,USP,Siritunga Jayasuriya,231,0.25,
2005,18C,Polonnaruwa,Polonnaruwa,ULPP,Victor Hettigoda,112,0.12,
2005,18C,Polonnaruwa,Polonnaruwa,NLF,Chamil Jayaneththi,106,0.11,
2005,18C,Polonnaruwa,Polonnaruwa,RPP,Aruna de Soyza,108,0.12,
2005,18C,Polonnaruwa,Polonnaruwa,ULF,Anura De Silva,51,0.05,
2005,18C,Polonnaruwa,Polonnaruwa,SLNF,Wimal Geeganage,47,0.05,
2005,18C,Polonnaruwa,Polonnaruwa,DUA,A. K. J. Arachchige,32,0.03,
2005,18C,Polonnaruwa,Polonnaruwa,SLPF,P. Nelson Perera,20,0.02,
2005,18C,Polonnaruwa,Polonnaruwa,SEP,Wije Dias,19,0.02,
2005,18C,Polonnaruwa,Polonnaruwa,UNAF,H. S. Dharmadwaja,10,0.01,
2010,18C,Polonnaruwa,Polonnaruwa,UPFA,Mahinda Rajapaksa,60718,62.1,blue
2010,18C,Polonnaruwa,Polonnaruwa,NDF,Sarath Fonseka,35473,36.28,green
2010,18C,Polonnaruwa,Polonnaruwa,DUNF,M. C. M. Ismail,320,0.33,
2010,18C,Polonnaruwa,Polonnaruwa,Ind 1,W. V. M. Ranjith,228,0.23,
2010,18C,Polonnaruwa,Polonnaruwa,JSP,A. A. Suraweera,219,0.22,
2010,18C,Polonnaruwa,Polonnaruwa,UDF,C. J. Sugathsiri Gamage,118,0.12,
2010,18C,Polonnaruwa,Polonnaruwa,SLLP,A. S. P. Liyanage,99,0.1,
2010,18C,Polonnaruwa,Polonnaruwa,NSH,Sarath Manamendra,98,0.1,
2010,18C,Polonnaruwa,Polonnaruwa,Ind 3,Ukkubanda Wijekoon,88,0.09,
2010,18C,Polonnaruwa,Polonnaruwa,ONF,Lal Perera,85,0.09,
2010,18C,Polonnaruwa,Polonnaruwa,USP,Siritunga Jayasuriya,61,0.06,
2010,18C,Polonnaruwa,Polonnaruwa,Ind 2,Aithurus Mohamed Illias,29,0.03,
2010,18C,Polonnaruwa,Polonnaruwa,LF,Vikramabahu Karunaratne,39,0.04,
2010,18C,Polonnaruwa,Polonnaruwa,NA,Sanath Pinnaduwa,30,0.03,
2010,18C,Polonnaruwa,Polonnaruwa,SEP,Wije Dias,29,0.03,
2010,18C,Polonnaruwa,Polonnaruwa,Ind 5,M. K. Shivajilingam,29,0.03,
2010,18C,Polonnaruwa,Polonnaruwa,Ind 4,M. Mohamed Musthaffa,22,0.02,
2010,18C,Polonnaruwa,Polonnaruwa,PNF,Senaratna de Silva,21,0.02,
2010,18C,Polonnaruwa,Polonnaruwa,JP,Baththaramulle Seelarathana Thero,17,0.02,
2010,18C,Polonnaruwa,Polonnaruwa,ACAKO,M. B. Theminimulla,15,0.02,
2010,18C,Polonnaruwa,Polonnaruwa,UNAF,Sarath Kongahage,13,0.01,
2010,18C,Polonnaruwa,Polonnaruwa,RPP,Aruna de Soyza,17,0.02,
2015,18C,Polonnaruwa,Polonnaruwa,I-AMI,Aithurus Mohamed Illias,35,0.03,
2015,18C,Polonnaruwa,Polonnaruwa,UPF,Maulawi Ibrahim Mohanmed Mishlar,82,0.07,
2015,18C,Polonnaruwa,Polonnaruwa,DNM,Prasanna Priyankara,20,0.02,
2015,18C,Polonnaruwa,Polonnaruwa,SLNF,Wimal Geeganage,13,0.01,
2015,18C,Polonnaruwa,Polonnaruwa,USP,Siritunga Jayasuriya,56,0.05,
2015,18C,Polonnaruwa,Polonnaruwa,AACAAKO,M. B. Theminimulla,19,0.02,
2015,18C,Polonnaruwa,Polonnaruwa,SEP,Pani Wijesiriwardane,20,0.02,
2015,18C,Polonnaruwa,Polonnaruwa,FSP,Duminda Nagamuwa,145,0.13,
2015,18C,Polonnaruwa,Polonnaruwa,SLLP,A. S. P. Liyanage,130,0.11,
2015,18C,Polonnaruwa,Polonnaruwa,NDF,Maithripala Sirisena,72875,62.86,green
2015,18C,Polonnaruwa,Polonnaruwa,ULPP,Ruwanthilaka Peduru Arachchi,165,0.14,
2015,18C,Polonnaruwa,Polonnaruwa,I-AP,Anuruddha Polgampala,35,0.03,
2015,18C,Polonnaruwa,Polonnaruwa,JSP,Baththaramulle Seelarathana Thero,15,0.01,
2015,18C,Polonnaruwa,Polonnaruwa,NSH,Sarath Manamendra,58,0.05,
2015,18C,Polonnaruwa,Polonnaruwa,PNF,Arachchige Rathnayaka Sirisena,149,0.13,
2015,18C,Polonnaruwa,Polonnaruwa,UPFA,Mahinda Rajapaksa,41961,36.19,blue
2015,18C,Polonnaruwa,Polonnaruwa,ONF,Namal Ajith Rajapaksa,123,0.11,
2015,18C,Polonnaruwa,Polonnaruwa,NSSP,Sundaram Mahendran,21,0.02,red
2015,18C,Polonnaruwa,Polonnaruwa,ULGC,Jayantha Kulathunga,13,0.01,
1982,18P,Polonnaruwa,Postal Votes,UNP,Junius Richard Jayewardene,746,62.85,green
1982,18P,Polonnaruwa,Postal Votes,SLFP,Hector Kobbekaduwa,362,30.5,blue
1982,18P,Polonnaruwa,Postal Votes,JVP,Rohana Wijeweera,60,5.05,red
1982,18P,Polonnaruwa,Postal Votes,LSSP,Colvin Reginald de Silva,9,0.76,red
1982,18P,Polonnaruwa,Postal Votes,ACTC,Kumar Ponnambalam,3,0.25,yellow
1982,18P,Polonnaruwa,Postal Votes,NSSP,Vasudeva Nanayakkara,7,0.59,red
1988,18P,Polonnaruwa,Postal Votes,UNP,Ranasinghe Premadasa,188,42.63,green
1988,18P,Polonnaruwa,Postal Votes,SLFP,Sirimavo Bandaranaike,233,52.83,blue
1988,18P,Polonnaruwa,Postal Votes,SLMP,Oswin Abeygunasekara,20,4.54,purple
1994,18P,Polonnaruwa,Postal Votes,PA,Chandrika Kumaratunga,2286,62.34,blue
1994,18P,Polonnaruwa,Postal Votes,UNP,Srimathi Dissanayake,1336,36.43,green
1994,18P,Polonnaruwa,Postal Votes,Ind 2,Hudson Samarasinghe,7,0.19,
1994,18P,Polonnaruwa,Postal Votes,SLPF,Nihal Galappaththi,16,0.44,
1994,18P,Polonnaruwa,Postal Votes,SMBP,Harischandra Wijayatunga,13,0.35,
1994,18P,Polonnaruwa,Postal Votes,Ind 1,Arthur Jayasena Ranasinghe,9,0.25,
1999,18P,Polonnaruwa,Postal Votes,PA,Chandrika Kumaratunga,1755,53.95,blue
1999,18P,Polonnaruwa,Postal Votes,UNP,Ranil Wickremesinghe,1154,35.47,green
1999,18P,Polonnaruwa,Postal Votes,JVP,M. D. Nandana Gunathilake,297,9.13,red
1999,18P,Polonnaruwa,Postal Votes,Liberal,Rajiva Wijesinha,1,0.03,
1999,18P,Polonnaruwa,Postal Votes,Ind 2,W. V. M. Ranjith,0,0.0,
1999,18P,Polonnaruwa,Postal Votes,Ind 1,T. Edirisuriya,2,0.06,
1999,18P,Polonnaruwa,Postal Votes,SMBP,Harischandra Wijayatunga,21,0.65,
